position,title,price,date,link,location
670,"Карабин охотничий самозарядный «MR1» под патрон .308Win исп. 01, ств. 410",400 000 руб.,"8 Сентября, в 10:49",https://gunsbroker.ru/hunting/890983_karabin-ohotnichiy-samozaryadnyy-mr1-pod-patron-308win-isp-01-stv-410.html,"Свердловская область, Екатеринбург"
671,Sabatti STR Sport RED 308w,275 000 руб.,"8 Сентября, в 07:39",https://gunsbroker.ru/hunting/867542_sabatti-str-sport-black.html,"Алтайский край, БИЙСК"
672,Remington 700 TARGET TACTICAL 308w,320 000 руб.,"8 Сентября, в 07:38",https://gunsbroker.ru/hunting/868309_remmigton-700-target-tactical-308w.html,"Алтайский край, БИЙСК"
673,Sabatti TLD RED  6.5x47 lap,230 000 руб.,"8 Сентября, в 07:38",https://gunsbroker.ru/hunting/868303_sabatti-tld-red-308w.html,"Алтайский край, БИЙСК"
674,Savage 110 калибр .308 HUNTER 559 (Новый),217 900 руб.,"7 Сентября, в 15:54",https://gunsbroker.ru/hunting/792935_savage-110-kalibr-308-hunter-559-novyy.html,"Москва, Раменский"
675,"SWC TITAN .308 Win (7,62Х51)/16,5"" - 420 мм , +7495-175-75-75",395 000 руб.,"7 Сентября, в 15:46",https://gunsbroker.ru/hunting/786420_swc-titan-308-win-762h51165---420-mm-novyy.html,"Москва, Раменское"
676,Антонио Золи 1900,320 000 руб.,"7 Сентября, в 12:11",https://gunsbroker.ru/hunting/890760_antonio-zoli-1900.html,"Краснодарский край, Туапсе"
677,Сайга-308-1,230 000 руб.,"7 Сентября, в 11:35",https://gunsbroker.ru/hunting/882262_sayga-308-1.html,"Московская область, Луховицы"
678,Сайга-МК 308,72 690 руб.,"7 Сентября, в 11:06",https://gunsbroker.ru/hunting/801680_sayga-mk-308.html,"ХМАО - Югра, Нижневартовск"
679,Blaser r 93 LRS 308win,800 000 руб.,"6 Сентября, в 20:32",https://gunsbroker.ru/hunting/703194_blaser-r-93-lrs-308win.html,"Республика Крым, Алушта"
680,"Monza Wood Smoke, 308Win, 560 мм (Новый)",144 900 руб.,"6 Сентября, в 19:58",https://gunsbroker.ru/hunting/802885_predzakaz-monza-wood-smoke-308win-560-mm-novyy.html,"Москва, Раменское"
681,Лось,43 000 руб.,"6 Сентября, в 15:54",https://gunsbroker.ru/hunting/823472_los.html,"Владимирская область, Владимир"
682,Вепрь308 кал.7.62*51,70 000 руб.,"6 Сентября, в 15:53",https://gunsbroker.ru/hunting/837139_vepr308-kal76251.html,"Владимирская область, Владимир"
683,Карабин Franchi Horizon Elite Strata съемный магазин 308Win 560мм,Договорная,"6 Сентября, в 14:47",https://gunsbroker.ru/hunting/828378_karabin-franchi-horizon-elite-strata-semnyy-magazin-308win-560mm.html,"Краснодарский край, Ейск"
